"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"TimeMatrix: Visual Representation for Temporal Pattern Detection in Dynamic Networks, VAST 2018 Mini-Challenge 3","T. Dang; V. V. Pham","Computer Science Department, Texas Tech University; Computer Science Department, Texas Tech University","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","19 Aug 2019","2018","","","108","109","This work proposes a visual analytic technique for visualizing temporal pattern detection in networks. The force-directed layout is a popular way to highlight structures of a network however it does not allow to present the dynamic features (how communities change over time). We target this problem by forcing nodes to display vertically and using the horizontal space for representing the timeline of entities. To show the connection between nodes, the edges are drawn vertically to avoid edge-crossings. This work also presents the result of applying the solution to the VAST 2018 - Mini Challenge 3 dataset, which led to the Honorable Mention: Representation of Small-Scale Temporal Patterns for the challenge.","","978-1-5386-6861-0","10.1109/VAST.2018.8802457","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8802457","","Visual analytics;Layout;Computer science;Dynamics;Image color analysis;Bioinformatics","data analysis;data visualisation;graph theory","visual representation;temporal pattern detection;dynamic networks;visual analytic technique;force-directed layout;dynamic features;communities change;small-scale temporal patterns;VAST 2018 mini-challenge 3","","1","","5","IEEE","19 Aug 2019","","","IEEE","IEEE Conferences"
"MTDES: Multi-dimensional Temporal Data Exploration System","V. V. Pham; T. Dang","Computer Science Department, Texas Tech University; Computer Science Department, Texas Tech University","2018 IEEE Conference on Visual Analytics Science and Technology (VAST)","19 Aug 2019","2018","","","100","101","This work proposes a visual analytic solution which is well-designed to provide investigative functions with fluent interactions to analyze multi-dimensional temporal data. The solution allows users to view different dimensions of the data at different levels of details with a well-designed mixture of different visualizations and smooth interactions. At the general/overview level, various aggregation strategies are used to reduce data to be visualized, and different sorting procedures are used to cluster correlated data together to help discover patterns. Detail views are provided to explore and confirm/reject the identified patterns. Interaction and smooth transition between views are implemented to enable natural actions while performing analysis tasks. This work also presents the result of applying the solution to the VAST 2018 - Mini-Challenge (MC) 2 dataset, which led to the Strong Support for Exploratory Analysis award for the challenge.","","978-1-5386-6861-0","10.1109/VAST.2018.8802440","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8802440","Multi-dimensional;temporal data analysis—Heat-map—Line-graph—Interaction Design;VAST Challenge 2018—Mini-Challenge 2—Award:Strong Support for Exploratory Analysis—","Heating systems;Data visualization;Sorting;Image color analysis;Frequency measurement;Calcium;Magnesium","data aggregation;data analysis;data visualisation;sorting","exploratory analysis award;multidimensional temporal data exploration system;visual analytic solution;data clustering;VAST 2018 - Mini-Challenge 2 dataset;sorting procedures;aggregation strategies","","4","","4","IEEE","19 Aug 2019","","","IEEE","IEEE Conferences"
"Morph-a-Dope: Using Pupil Manipulation to Spoof Eye Movement Biometrics","I. Griswold-Steiner; Z. Fyke; M. Ahmed; A. Serwadda","Department of Computer Science, Texas Tech University, Lubbock, TX; Department of Computer Science, Texas Tech University, Lubbock, TX; Department of Computer Science, Texas Tech University, Lubbock, TX; Department of Computer Science, Texas Tech University, Lubbock, TX","2018 9th IEEE Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON)","15 Aug 2019","2018","","","543","552","Eye Tracking Authentication - a mechanism where eye movement patterns are used to verify a user's identity - is increasingly being explored for use as a layer of security in computing systems. Despite being widely studied, there is barely any research investigating how these systems could be attacked by a determined attacker. In particular, the relationship between pupil characteristics and lighting is one that could lead to vulnerabilities in improperly secured systems.This paper presents Morph-a-Dope, an attack that leverages lighting manipulations to defeat eye tracking authentication systems that heavily rely on features derived from pupil sizes. Across 20 attacker-victim pairs, the attack increased the EER by an average of over 50% as compared to the zero-effort attack by the overall population, and as much as 500% for individual victims. Our research calls for a greater emphasis on manipulation-resistant pupil size features or system designs that otherwise avoid such vulnerabilities.","","978-1-5386-7693-6","10.1109/UEMCON.2018.8796625","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8796625","eye tracking biometrics;behavioral biometrics;spoof attack;continuous authentication;machine learning","","authorisation;eye;feature extraction;gaze tracking;iris recognition;object tracking","zero-effort attack;manipulation-resistant pupil size features;system designs;Morph-a-Dope;pupil manipulation;spoof eye movement biometrics;eye movement patterns;computing systems;determined attacker;pupil characteristics;eye tracking authentication systems;attacker-victim pairs","","2","","24","IEEE","15 Aug 2019","","","IEEE","IEEE Conferences"
"Mitigating Suppression Attack in Multicast Protocol for Low Power and Lossy Networks","C. Pu; X. Zhou; S. Lim","Weisberg Division of Computer Science, Marshall University, Huntington, WV, USA; MS Graduate of Computer Science, Marshall University, Huntington, WV, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA","2018 IEEE 43rd Conference on Local Computer Networks (LCN)","10 Feb 2019","2018","","","251","254","The following topics are dealt with: telecommunication traffic; telecommunication network routing; Internet; protocols; wireless sensor networks; transport protocols; Internet of Things; computer network security; resource allocation; learning (artificial intelligence).","0742-1303","978-1-5386-4413-3","10.1109/LCN.2018.8638238","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8638238","Denial-of-Service attack;low power and lossy networks;multicast protocol;suppression attack","Multicast communication;Multiprotocol label switching;Microsoft Windows;Wireless sensor networks;Multicast protocols;Wireless communication;Conferences","Internet;protocols;telecommunication network routing;telecommunication traffic;wireless sensor networks","telecommunication traffic;telecommunication network routing;Internet;protocols;wireless sensor networks;transport protocols;Internet of Things;computer network security;resource allocation;learning (artificial intelligence)","","7","","14","IEEE","10 Feb 2019","","","IEEE","IEEE Conferences"
"Predicting customer behaviors on energy consumption: Why past usage data are not enough?","S. Puangpontip; R. Hewett","Department of Computer Science, Texas Tech University, Lubbock, USA; Department of Computer Science, Texas Tech University, Lubbock, USA","2018 IEEE International Conference on Big Data (Big Data)","24 Jan 2019","2018","","","4577","4581","Smart Grid is an important cyber-physical infrastructure for power generation, transmission and distribution. As energy becomes a necessity for our modern living, effective management of Smart Grid can have great impact on power services. Recent smart meter technology has provided an opportunity that allows an economic model of utility to be more flexible and optimal. Construction of such a model requires better understanding of consumer behaviors in response to a given pricing. Most existing research uses mathematical models that tend to rely on assumptions that may not be realistically realizable. Majority of empirical work aims to predict or optimize utility loads. To the best of our knowledge, no empirical published work has addressed this issue. Our research aims to find an appropriate Big data analytic approach to learning consumption pattern of each household at appliance level. Particularly, this paper investigates how machine learning can be used to predict the change of customer's consumption habits for lower pricing. The problem is non-trivial due to conflicting dependent factors that are dynamically changing. Our preliminary results, obtained from three popular machine-learning models using synthesized data, show relatively high accuracy ranging from 61.5% to 99.4% for various appliances. Although the results are encouraging, we provide insights towards the validity and improvement of these predictive models.","","978-1-5386-5035-6","10.1109/BigData.2018.8622034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622034","demand response;cyber-physical system;smart grid;machine learning;big data analytics","Home appliances;Pricing;Mathematical model;Smart grids;Machine learning;Predictive models;Big Data","Big Data;consumer behaviour;data analysis;energy consumption;learning (artificial intelligence);power engineering computing;pricing;smart meters;smart power grids","customer behaviors;energy consumption;usage data;power generation;power services;economic model;consumer behaviors;mathematical models;utility loads;consumption pattern;machine learning;synthesized data;smart grid;cyber-physical infrastructure;power transmission;power distribution;smart meter technology;pricing;big data analytic approach","","2","","18","IEEE","24 Jan 2019","","","IEEE","IEEE Conferences"
"Unleashing the Power of Hashtags in Tweet Analytics with Distributed Framework on Apache Storm","V. Gupta; R. Hewett","Department of Computer Science, Texas Tech University, Lubbock, TX; Department of Computer Science, Texas Tech University, Lubbock, TX","2018 IEEE International Conference on Big Data (Big Data)","24 Jan 2019","2018","","","4554","4558","Twitter is a popular social network platform where users can interact and post texts of up to 280 characters called tweets. Hashtags, hyperlinked words in tweets, have increasingly become crucial for tweet retrieval and search. Using hashtags for tweet topic classification is a challenging problem because of context dependent among words, slangs, abbreviation and emoticons in a short tweet along with evolving use of hashtags. Since Twitter generates millions of tweets daily, tweet analytics is a fundamental problem of Big data stream that often requires a real-time Distributed processing. This paper proposes a distributed online approach to tweet topic classification with hashtags. Being implemented on Apache Storm, a distributed real time framework, our approach incrementally identifies and updates a set of strong predictors in the Naïve Bayes model for classifying each incoming tweet instance. Preliminary experiments show promising results with up to 97% accuracy and 37% increase in throughput on eight processors.","","978-1-5386-5035-6","10.1109/BigData.2018.8622302","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622302","Twitter;Hashtags;Social Media;Big Data Stream;Ontology;Apache Storm","Twitter;Tagging;Storms;Big Data;Program processors;Real-time systems;Throughput","Bayes methods;classification;distributed processing;file organisation;indexing;real-time systems;social networking (online);text analysis","hashtags;tweet analytics;Apache Storm;hyperlinked words;tweet retrieval;tweet topic classification;social network platform;real-time distributed processing;Big Data;Naïve Bayes model;Twitter","","2","","23","IEEE","24 Jan 2019","","","IEEE","IEEE Conferences"
"FinanViz: Visualizing Emerging Topics in Financial News","N. V. T. Nguyen; V. T. Nguyen; V. Pham; T. Dang","Computer Science Department, Texas Tech University, Lubbock, TX, USA; Computer Science Department, Texas Tech University, Lubbock, TX, USA; Computer Science Department, Texas Tech University, Lubbock, TX, USA; Computer Science Department, Texas Tech University, Lubbock, TX, USA","2018 IEEE International Conference on Big Data (Big Data)","24 Jan 2019","2018","","","4698","4704","The explosion of social media has paved a way for big data in which entrepreneurs use this data to find out potential customers, market demands, individual behavior, thereby to improve existing products, to create new products according to users' need, or to analyze and evaluate financial risks. The challenges of the heterogeneity and fragmentation of data make it difficult for analysts to fully exploit the benefit of deluge information. Available statistical software lacks customization and address unknown research questions. This paper proposes FinanViz, a visual analytics tool for analyzing financial news on social media. The principal aim of FinanViz is to observe the dynamic behavior of terms/words over time along with their proximity to other terms/words. The tool provides an intuitive, interactive exploration of the financial topics and what events are emerging in which we would argue that it will give hints for financial marketers in the decision making process.","","978-1-5386-5035-6","10.1109/BigData.2018.8622097","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622097","Financial news;social media;coordinated multiple views;dynamic network;community detection;word clouds","Social network services;Data visualization;Correlation;Tools;Big Data;Tag clouds;Visualization","data analysis;data mining;data visualisation;decision making;financial data processing;financial management;product design;risk management;social networking (online);statistical analysis;stock markets;text analysis","FinanViz;financial news;social media;big data;market demands;individual behavior;financial risks;heterogeneity;fragmentation;deluge information;customization;visual analytics tool;dynamic behavior;financial topics;financial marketers;statistical software","","4","","31","IEEE","24 Jan 2019","","","IEEE","IEEE Conferences"
"A Survey of Privacy Concerns in Wearable Devices","P. Datta; A. S. Namin; M. Chatterjee","Department of Computer Science, Texas Tech University; Department of Computer Science, Texas Tech University; Department of Computer Science, Texas Tech University","2018 IEEE International Conference on Big Data (Big Data)","24 Jan 2019","2018","","","4549","4553","With the continued improvement and innovation, technology has become an integral part of our daily lives. The rapid adoption of technology and its affordability has given rise to the Internet-of-Things (IoT). IoT is an interconnected network of devices that are able to communicate and share information seamlessly. IoT encompasses a gamut of heterogeneous devices ranging from a small sensor to large industrial machines. One such domain of IoT that has seen a significant growth in the recent few years is that of the wearable devices. While the privacy issues for medical devices has been well-researched and documented in the literature, the threats to privacy arising from the use of consumer wearable devices have received very little attention from the research community. This paper presents a survey of the literature to understand the various privacy challenges, mitigation strategies, and future research directions as a result of the widespread adoption of wearable devices.","","978-1-5386-5035-6","10.1109/BigData.2018.8622110","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622110","privacy;wearable devices;IoT","Privacy;Biomedical monitoring;Data privacy;Employment;Computer science;Monitoring;Automobiles","data privacy;Internet of Things","Internet-of-Things;IoT;heterogeneous devices;privacy issues;medical devices;consumer wearable devices;privacy challenges;privacy concerns","","10","","40","IEEE","24 Jan 2019","","","IEEE","IEEE Conferences"
"A Multi-variable Stacked Long-Short Term Memory Network for Wind Speed Forecasting","S. Liang; L. Nguyen; F. Jin","Department of Computer Science, Texas Tech University, Lubbock, Texas, USA; Department of Computer Science, Texas Tech University, Lubbock, Texas, USA; Department of Computer Science, Texas Tech University, Lubbock, Texas, USA","2018 IEEE International Conference on Big Data (Big Data)","24 Jan 2019","2018","","","4561","4564","Precisely forecasting wind speed is essential for wind power producers and grid operators. However, this task is challenging due to the stochasticity of wind speed. To accurately predict short-term wind speed under uncertainties, this paper proposed a multi-variable stacked LSTMs model (MSLSTM). The proposed method utilizes multiple historical meteorological variables, such as wind speed, temperature, humidity, pressure, dew point and solar radiation to accurately predict wind speeds. The prediction performance is extensively assessed using real data collected in West Texas, USA. The experimental results show that the proposed MSLSTM can preferably capture and learn uncertainties while output competitive performance.","","978-1-5386-5035-6","10.1109/BigData.2018.8622332","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622332","Deep learning;Wind speed prediction;LSTM;Stacked LSTMs","Wind speed;Predictive models;Forecasting;Wind forecasting;Wind power generation;Humidity","learning (artificial intelligence);load forecasting;power engineering computing;recurrent neural nets;wind power","wind speed forecasting;short-term wind speed;multiple historical meteorological variables;multivariable stacked LSTMs model;multivariable stacked long-short term memory network","","31","","13","IEEE","24 Jan 2019","","","IEEE","IEEE Conferences"
"CVExplorer: Multidimensional Visualization for Common Vulnerabilities and Exposures","V. Pham; T. Dang","Dept. of Computer Science, Texas Tech University, Lubbock, TX, USA; Dept. of Computer Science, Texas Tech University, Lubbock, TX, USA","2018 IEEE International Conference on Big Data (Big Data)","24 Jan 2019","2018","","","1296","1301","Cyber attacks cause great damage to our national security, ranging from individual internet user to biggest governmental/industrial organizations, such as Equifax (Data Breach 145.5 Million Accounts, reported in July 2017) or Uber (Data Breach 57 Million Records, reported in November 2017). The cyber assault has significantly increased in breadth and depth. This paper introduces CVExplorer, a novel interactive system for visualizing cybersecurity threats reported in the National Vulnerability Database. The proposed system aims to work as a reporting and alerting tool that can help enhance the security against cyber attacks can potentially reduce network vulnerabilities. The CVExplorer system containing multiple linked views allows users to visualize the relationships of various dimensions in the large number of vulnerability reports, such as types and levels of vulnerability, vendors, and products. The CVExplorer provides an intuitive interface and supports a range of interactive features, such as filtering and ordering by vulnerability severity ratings, allowing users to narrow down topics of interest quickly. To demonstrate the effectiveness of the proposed system, we demonstrate the CVExplorer on two case studies of Common Vulnerabilities and Exposures retrieved from the National Vulnerability Database.","","978-1-5386-5035-6","10.1109/BigData.2018.8622092","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622092","Common Vulnerabilities and Exposures;Common Vulnerability Scoring System;High-Dimensional Visual Analytics;Parallel coordinates;Force directed layouts.","Data visualization;Computer security;Databases;Standards;Tools;Visualization","data visualisation;interactive systems;security of data","governmental organization;interactive system;cybersecurity threat visualization;vulnerability reports;multiple linked views;CVExplorer system;network vulnerabilities;alerting tool;cybersecurity threats;cyber assault;individual internet user;national security;cyber attacks;multidimensional visualization;National Vulnerability Database;vulnerability severity ratings;interactive features","","18","","20","IEEE","24 Jan 2019","","","IEEE","IEEE Conferences"
"Detect Hidden Road Hazards combining Multiple Social Media Data","F. Jin; H. Liu","Department of Computer Science, Texas Tech University; Department of Civil, Environmental, and Construction Engineering, Texas Tech University","2018 IEEE International Conference on Big Data (Big Data)","24 Jan 2019","2018","","","4559","4560","It is imperatively important to spot hidden road hazards which cause a high proportion of traffic incidents. Social media data is featured by its innumerable and up-to-date information, and provides a promising approach to road hazard spotting. However, this research area is not well studied yet. In this paper, we present our view of the important research issues, including challenges of mining spatio-temporal dataset, road hazards reasoning and etc.","","978-1-5386-5035-6","10.1109/BigData.2018.8622256","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622256","","Roads;Hazards;Social network services;Accidents;Cognition;Vehicles;Data mining","data analysis;social networking (online)","research area;road hazard spotting;up-to-date information;innumerable date information;traffic incidents;multiple social media data;detect hidden road hazards","","","","7","IEEE","24 Jan 2019","","","IEEE","IEEE Conferences"
"Towards Prediction of Security Attacks on Software Defined Networks: A Big Data Analytic Approach","E. Unal; S. Sen-Baidya; R. Hewett","Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA","2018 IEEE International Conference on Big Data (Big Data)","24 Jan 2019","2018","","","4582","4588","Cyber-physical systems (CPS) tightly integrate physical and computing processes by monitoring and control data interacting between them via underlying networks. Software Defined Network (SDN) Technology has increasingly become essential in many advanced computer networks, including those in modern CPS, to provide flexible and agile network development. Despite many benefits that SDN offers, malicious attacks that can eventually prevent network services are unavoidable. Among the most predominant attacks on SDN controller layer, Link Discovery Attack and ARP (Address Resolution Protocol) Spoofing Attack are fundamental in that they are the gateways of many other SDN threats and attacks. To defend these attacks, most existing techniques either rely on relatively complex data validation techniques or use thresholds that can be subjective and unable to detect more than one type of attacks at a time if one deciding factor is used. While Big data technology, particularly machine learning, has been widely used for intrusion/anomaly detection, little has been done in SDN. This paper explores how well this technology can be used to predict these SDN attacks. By employing typical machine learning algorithms on simulated data of routing in SDN when attacks occur, preliminary results, obtained from four machine learning models, show the average area under ROC curve of over 96% and 92% for sample size 50,970 (12 switches) and 60,000 (20 switches), respectively. Further experiments show near-linear scaling in training time for the best performing algorithm when sample size grows up to 100,000.","","978-1-5386-5035-6","10.1109/BigData.2018.8622524","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622524","Software-Defined Networking;SDN-specific security;Link Discovery attack;ARP Spoofing attack;Machine Learning;Data Analytic Applications","Control systems;Protocols;Software defined networking;Security;Big Data;Machine learning;Computer architecture","Big Data;computer network security;cyber-physical systems;data analysis;IP networks;learning (artificial intelligence);software defined networking","security attacks;Big data analytic approach;cyber-physical systems;flexible network development;agile network development;malicious attacks;SDN controller layer;SDN attacks;software defined network technology;computer networks;CPS;ARP spoofing attack;link discovery attack;address resolution protocol spoofing attack;machine learning;intrusion-anomaly detection","","6","","23","IEEE","24 Jan 2019","","","IEEE","IEEE Conferences"
"Web-Based Virtual Reality Development in Classroom: From Learner's Perspectives","V. T. Nguyen; R. Hite; T. Dang","Computer Science Department, Texas Tech University, Lubbock, TX, USA; Department of Curriculum and Instruction, Texas Tech University, Lubbock, TX, USA; Computer Science Department, Texas Tech University, Lubbock, TX, USA","2018 IEEE International Conference on Artificial Intelligence and Virtual Reality (AIVR)","17 Jan 2019","2018","","","11","18","Virtual Reality (VR) content development tools are in continuous production by both enthusiastic researchers and software development companies. Yet, learners could benefit from participating in this development, not only for learning vital programming skills, but also skills in creativity and collaboration. Web-based VR (WebVR) has emerged as a platform-independent framework that permits individuals (with little to no prior programming experience) to create immersive and interactive VR applications. Yet, the success of WebVR relies on students' technological acceptance, the intersectionality of perceived utility and ease of use. In order to determine the effectiveness of the emerging tool for learners of varied experience levels, this paper presents a case study of 38 students who were tasked with developing WebVR 'dream' houses. Results showed that students were accepting of the technology by not only learning and implementing WebVR in a short time (one month), but were also capable of demonstrating creativity and problem-solving skills with classroom supports (i.e., pre-project presentations, online discussions, exemplary projects, and TA support). Results as well as recommendations, lessons learned, and further research are addressed.","","978-1-5386-9269-1","10.1109/AIVR.2018.00010","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8613629","Web-based virtual reality, technology acceptance model, course design, student creativity, A-frame","Education;Programming profession;Solid modeling;Three-dimensional displays;Software;Virtual reality","computer aided instruction;computer science education;Internet;software engineering;technology acceptance model;virtual reality","student technological acceptance;WebVR dream houses;varied experience levels;perceived utility;interactive VR applications;immersive VR applications;prior programming experience;platform-independent framework;web-based VR;vital programming skills;software development companies;continuous production;Virtual Reality content development tools;web-based virtual reality development;classroom supports;problem-solving skills;creativity","","17","","24","IEEE","17 Jan 2019","","","IEEE","IEEE Conferences"
"A Comparison of ARIMA and LSTM in Forecasting Time Series","S. Siami-Namini; N. Tavakoli; A. Siami Namin","Department of Applied Economics, Texas Tech University; Department of Computer Science, Georgia Institute of Technology; Department of Computer Science, Texas Tech University","2018 17th IEEE International Conference on Machine Learning and Applications (ICMLA)","17 Jan 2019","2018","","","1394","1401","Forecasting time series data is an important subject in economics, business, and finance. Traditionally, there are several techniques to effectively forecast the next lag of time series data such as univariate Autoregressive (AR), univariate Moving Average (MA), Simple Exponential Smoothing (SES), and more notably Autoregressive Integrated Moving Average (ARIMA) with its many variations. In particular, ARIMA model has demonstrated its outperformance in precision and accuracy of predicting the next lags of time series. With the recent advancement in computational power of computers and more importantly development of more advanced machine learning algorithms and approaches such as deep learning, new algorithms are developed to analyze and forecast time series data. The research question investigated in this article is that whether and how the newly developed deep learning-based algorithms for forecasting time series data, such as ""Long Short-Term Memory (LSTM)"", are superior to the traditional algorithms. The empirical studies conducted and reported in this article show that deep learning-based algorithms such as LSTM outperform traditional-based algorithms such as ARIMA model. More specifically, the average reduction in error rates obtained by LSTM was between 84 - 87 percent when compared to ARIMA indicating the superiority of LSTM to ARIMA. Furthermore, it was noticed that the number of training times, known as ""epoch"" in deep learning, had no effect on the performance of the trained forecast model and it exhibited a truly random behavior.","","978-1-5386-6805-4","10.1109/ICMLA.2018.00227","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8614252","Deep Learning, Long Short-Term Memory (LSTM), Autoregressive Integrated Moving Average (ARIMA), Forecasting, Time Series Data","Time series analysis;Forecasting;Predictive models;Autoregressive processes;Economics;Deep learning;Data models","autoregressive moving average processes;data analysis;forecasting theory;learning (artificial intelligence);recurrent neural nets;time series","LSTM;Autoregressive Integrated Moving Average;ARIMA model;data processing;long short-term memory;forecasting time series data analysis;deep learning-based algorithms;machine learning algorithms","","304","","22","IEEE","17 Jan 2019","","","IEEE","IEEE Conferences"
"Smart and Connected Water Resource Management Via Social Media and Community Engagement","L. H. Nguyen; R. Hewett; A. S. Namin; N. Alvarez; C. Bradatan; F. Jin","Department of Computer Science, Texas Tech University; Department of Computer Science, Texas Tech University; Department of Computer Science, Texas Tech University; Department of Computer Science, Texas Tech University; Department of Sociology, Anthropology, and Social Work, Texas Tech University; Department of Computer Science, Texas Tech University","2018 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)","25 Oct 2018","2018","","","613","616","Water is a critical natural resource that has significant impacts on human living and society. Growing population and energy consumption exacerbate the scarcity of water and our ability to manage this resource. This demonstration paper presents WaterScope, a smart and connected platform for water resource management, which integrates multiple data sources such as water level data, social media data, and water related articles. Furthermore, the tool enables forecasting underground water levels, identifying water concerns, sharing knowledge and expertise among stakeholders, and thus bringing new insights to our understanding and insights of the water supplies and resource management. The prototype engages water stakeholders who face problems of similar nature but deal with the problem in an ad-hoc and isolated manner. The interactive WaterScope platform targets creating an interconnected virtual community that aims to improve water supply resilience.","2473-991X","978-1-5386-6051-5","10.1109/ASONAM.2018.8508602","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8508602","","Water resources;Water conservation;Stakeholders;Forecasting;Time series analysis;Social network services;Predictive models","energy consumption;natural resources;social networking (online);water resources;water supply","water supply resilience;community engagement;critical natural resource;human living;smart platform;connected platform;water resource management;water level data;social media data;water related articles;underground water levels;water concerns;water stakeholders;energy consumption;data sources;WaterScope platform;virtual community","","5","","5","IEEE","25 Oct 2018","","","IEEE","IEEE Conferences"
"The FOL-Based Legal-GRL (FLG) Framework: Towards an Automated Goal Modeling Approach for Regulations","A. Rabinia; S. Ghanavati","Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA","2018 IEEE 8th International Model-Driven Requirements Engineering Workshop (MoDRE)","21 Oct 2018","2018","","","58","67","In recent years, several goal modeling approaches have been used and extended to capture the complexity of legal requirements and help modeling them in notations familiar to the requirements engineers and analysts. Legal-GRL, which is an extension of the Goal-oriented Requirements Language (GRL), is used for modeling and analyzing legal requirements. However, creating Legal-GRL models is still a manual process, which limits its effectiveness and scalability. In this paper, we propose a new goal modeling framework based on GRL to facilitate the automation of the legal requirements modeling process. Our FOL-based Legal-GRL (FLG) framework uses a legal ontology, which entails a modal theory and First-order Logic (FOL) approach, for the purpose of extraction, refinement, and representation of legal requirements. Our FLG framework consists of a database design and a set of methods for automating the modeling process. We evaluate our work by modeling several statements from HIPAA, PHIPA, the EU GDPR and EU-US Privacy Shield.","","978-1-5386-8406-1","10.1109/MoDRE.2018.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8501495","Goal Modeling, Legal Requirements, First Order Logic, GRL","Law;Ontologies;Analytical models;Complexity theory;Computational modeling;Databases","data privacy;database management systems;formal logic;formal specification;formal verification;ontologies (artificial intelligence);systems analysis","FOL-based Legal-GRL framework;legal requirements modeling process;legal ontology;FLG framework;first-order logic approach;goal-oriented requirements language;database design;modeling process;EU-US Privacy Shield;EU GDPR;PHIPA;HIPAA","","3","","37","IEEE","21 Oct 2018","","","IEEE","IEEE Conferences"
"I/O Characteristics Discovery in Cloud Storage Systems","J. Zhou; D. Dai; Y. Mao; X. Chen; Y. Zhuang; Y. Chen","Department of Computer Science, Texas Tech University, USA; Department of Computer Science, Texas Tech University, USA; Department of Computer Science, Texas Tech University, USA; Department of Computer Science, Texas Tech University, USA; Department of Computer Science, Texas Tech University, USA; Department of Computer Science, Texas Tech University, USA","2018 IEEE 11th International Conference on Cloud Computing (CLOUD)","11 Sep 2018","2018","","","170","177","The data growth from many applications in clouds poses significant challenges to cloud storage systems. To deliver the best storage and I/O performance possible, it is often required to understand and leverage the I/O characteristics based on data accesses. A number of research studies have been carried out on this topic. However, most of them either utilize a limited number of data-access attributes, restricting the general applicability of the method for different applications, or heavily rely on the domain knowledge or expertise about applications' I/O behaviors to select the best representative features, introducing bias for certain workloads. To overcome these limitations, in this study, we present a new I/O characteristic discovery methodology. This method enables capturing data-access features as many as possible to eliminate human bias. It utilizes a machine-learning based strategy to derive the most important set of features automatically, and groups data objects with a clustering algorithm (DBSCAN) to reveal I/O characteristics discovered. These I/O characteristics revealed can direct I/O performance optimizations in numerous scenarios, such as in data prefeteching and data reorganization optimizations in cloud storage systems.","2159-6190","978-1-5386-7235-8","10.1109/CLOUD.2018.00029","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8457797","Cloud storage systems, file systems, I/O characteristics discovery","Correlation;Cloud computing;Clustering algorithms;Optimization;Semantics;Principal component analysis;Machine learning","cloud computing;data mining;learning (artificial intelligence);pattern clustering;storage management","data reorganization optimizations;cloud storage systems;characteristics discovery;I/O characteristics;data-access attributes;characteristic discovery methodology;data-access features;groups data objects;data prefeteching;I/O performance optimizations","","6","","28","IEEE","11 Sep 2018","","","IEEE","IEEE Conferences"
